treatment,species,rep,viable_sd,nviable_sd,flowers,fl_attempt_conversion,successes,attempts
bagged,arca,12,0,2,34,34,0,36
bagged,arca,8,0,0,43,43,0,43
bagged,arca,14,0,0,34,34,0,34
bagged,arca,2,0,0,56,56,0,56
bagged,arca,6,0,0,40,40,0,40
bagged,arca,13,0,0,92,92,0,92
bagged,arca,9,0,0,45,45,0,45
bagged,arca,3,0,0,37,37,0,37
bagged,arca,1,0,0,35,35,0,35
bagged,arca,4,0,0,48,48,0,48
bagged,arca,5,0,0,44,44,0,44
bagged,arca,10,0,0,30,30,0,30
bagged,arca,11,0,0,56,56,0,56
open,arca,ARCA60,0,0,0,0,0,0
open,arca,ARCA57,0,0,22,22,0,22
open,arca,ARCA19,0,3,16,16,0,19
open,arca,ARCA23,0,0,17,17,0,17
open,arca,ARCA27,0,0,0,0,0,0
open,arca,ARCA33,0,12,22,22,0,34
open,arca,ARCA25,0,4,20,20,0,24
open,arca,ARCA26,0,58,139,139,0,197
open,arca,ARCA24,0,0,0,0,0,0
open,arca,ARCA28,0,19,23,23,0,42
open,arca,ARCA38,0,0,1,1,0,1
open,arca,ARCA44,0,0,0,0,0,0
open,arca,ARCA66,0,0,9,9,0,9
open,trcy,TRCY15,0,2,0,0,0,2
open,trcy,TRCY76,0,0,0,0,0,0
bagged,vero,15,0,4,0,0,0,4
bagged,vero,11,0,6,0,0,0,6
bagged,vero,4,0,3,0,0,0,3
bagged,vero,3,0,3,0,0,0,3
bagged,vero,1,0,1,0,0,0,1
open,vero,VERO47,0,0,0,0,0,0
open,vero,VERO78,0,0,0,0,0,0
open,vero,VERO42,0,0,0,0,0,0
bagged,arca,7,1,0,40,40,1,41
open,arca,ARCA74,1,1,0,0,1,2
open,arca,ARCA18,1,14,18,18,1,33
bagged,vero,12,1,6,0,0,1,7
open,vero,VERO46,1,2,0,0,1,3
open,vero,VERO32,1,0,0,0,1,1
open,vero,VERO28,1,4,0,0,1,5
open,vero,VERO73,1,0,0,0,1,1
open,arca,ARCA30,2,3,21,21,2,26
bagged,trcy,4,2,11,0,0,2,13
open,trcy,TRCY36,2,0,0,0,2,2
open,trcy,TRCY66,2,0,0,0,2,2
open,trcy,TRCY23,2,1,0,0,2,3
bagged,tror,4,2,2,0,0,2,4
bagged,vero,2,2,2,0,0,2,4
open,vero,VERO52,2,6,0,0,2,8
open,arca,ARCA22,3,0,13,13,3,16
open,trcy,TRCY24,3,1,0,0,3,4
open,trcy,TRCY3,3,1,0,0,3,4
open,trcy,TRCY45,3,1,0,0,3,4
open,trcy,TRCY68,3,1,0,0,3,4
bagged,vero,9,3,1,0,0,3,4
bagged,vero,8,3,1,0,0,3,4
bagged,vero,7,3,9,0,0,3,12
open,vero,VERO6,3,0,0,0,3,3
open,vero,VERO15,3,0,0,0,3,3
open,vero,VERO37,3,1,0,0,3,4
bagged,trcy,11,4,0,0,0,4,4
open,trcy,TRCY41,4,0,0,0,4,4
open,trcy,TRCY42,4,0,0,0,4,4
open,trcy,TRCY7,4,0,0,0,4,4
open,trcy,TRCY12,4,1,0,0,4,5
open,tror,TROR46,4,0,0,0,4,4
open,tror,TROR57,4,0,0,0,4,4
bagged,vero,14,4,0,0,0,4,4
bagged,vero,6,4,0,0,0,4,4
open,vero,VERO22,4,9,0,0,4,13
open,vero,VERO27,4,0,0,0,4,4
open,vero,VERO55,4,0,0,0,4,4
open,vero,VERO58,4,0,0,0,4,4
open,vero,VERO59,4,2,0,0,4,6
open,vero,VERO74,4,3,0,0,4,7
open,vero,VERO66,4,0,0,0,4,4
open,vero,VERO49,4,6,0,0,4,10
open,vero,VERO72,4,0,0,0,4,4
open,trcy,TRCY43,5,1,0,0,5,6
open,trcy,TRCY55,5,0,0,0,5,5
open,tror,TROR58,5,0,0,0,5,5
open,vero,VERO40,5,3,0,0,5,8
open,vero,VERO44,5,0,0,0,5,5
open,vero,VERO9,5,11,0,0,5,16
bagged,trcy,5,6,0,0,0,6,6
open,trcy,TRCY2,6,1,0,0,6,7
open,trcy,TRCY26,6,2,0,0,6,8
open,trcy,TRCY47,6,0,0,0,6,6
open,trcy,TRCY 38X,6,0,0,0,6,6
open,tror,TROR42,6,0,0,0,6,6
bagged,vero,10,6,6,0,0,6,12
open,vero,VERO48,6,1,0,0,6,7
open,vero,VERO53,6,0,0,0,6,6
open,arca,ARCA16,7,0,2,2,7,9
open,trcy,TRCY51,7,0,0,0,7,7
open,trcy,TRCY63,7,1,0,0,7,8
open,trcy,TRCY17,7,1,0,0,7,8
bagged,tror,3,7,3,0,0,7,10
open,tror,TROR54,7,0,0,0,7,7
bagged,vero,13,7,4,0,0,7,11
open,vero,VERO45,7,5,0,0,7,12
open,vero,VERO70,7,0,0,0,7,7
bagged,trcy,10,8,4,0,0,8,12
bagged,trcy,9,8,2,0,0,8,10
open,trcy,TRCY16,8,4,0,0,8,12
bagged,tror,13,8,10,1,2,8,20
bagged,tror,11,8,0,0,0,8,8
open,tror,TROR41,8,0,0,0,8,8
open,vero,VERO43,8,0,0,0,8,8
open,vero,VERO62,8,5,0,0,8,13
