,2.50%,97.50%,Estimate
(Intercept),2.266728809,4.089782817,3.188334233
"poly(log_ringcon, 2)1",-10.94641757,-3.191511989,-7.061027371
"poly(log_ringcon, 2)2",-9.991608543,-1.435040719,-5.396458864
Trim.TreatmentNOCUT,-0.344193482,0.842406852,0.249624655
"poly(log_ringhet, 2)1",-5.641433266,1.799380929,-1.879081931
"poly(log_ringhet, 2)2",-5.197224123,3.26731178,-0.860985272
"poly(log_ringcon, 2)1:Trim.TreatmentNOCUT",-6.089631889,4.892531113,-0.652021645
"poly(log_ringcon, 2)2:Trim.TreatmentNOCUT",-4.184217109,8.333171598,1.926986015
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)1",-7.157037203,3.233148062,-1.906826046
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)2",-5.641125863,5.462839071,-0.103723771
(Intercept),2.63065744,3.49897165,3.068034456
"poly(log_ringcon, 2)1",-7.873457929,-0.434568213,-4.175563906
"poly(log_ringcon, 2)2",-5.010322905,3.990461885,-0.639032092
Trim.TreatmentNOCUT,-0.288733855,0.67561536,0.195818051
"poly(log_ringhet, 2)1",-7.405766147,-0.208988684,-3.759708137
"poly(log_ringhet, 2)2",-6.114294015,1.600731762,-2.339897053
"poly(log_ringcon, 2)1:Trim.TreatmentNOCUT",-4.021186098,5.429788086,0.77797377
"poly(log_ringcon, 2)2:Trim.TreatmentNOCUT",-4.833717295,5.915854365,0.607706673
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)1",-3.057605375,6.696704649,1.771997961
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)2",-2.457243165,6.912517558,2.259987051
(Intercept),2.659148373,3.67220771,3.165222521
"poly(log_ringcon, 2)1",-3.902127344,1.063071059,-1.390230506
"poly(log_ringcon, 2)2",-2.188740573,2.024399822,-0.145715677
Trim.TreatmentNOCUT,-0.488643204,0.296406922,-0.096596105
"poly(log_ringhet, 2)1",-6.107399725,-0.666427522,-3.359302102
"poly(log_ringhet, 2)2",-4.931187362,-0.173339584,-2.579454245
"poly(log_ringcon, 2)1:Trim.TreatmentNOCUT",-4.532552775,2.474740181,-1.080917726
"poly(log_ringcon, 2)2:Trim.TreatmentNOCUT",-5.274995915,1.512353796,-1.883591712
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)1",-0.772820215,6.96165115,3.080521172
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)2",-1.746165393,5.156102134,1.705282677
(Intercept),2.00804628,3.107103756,2.561346959
"poly(log_ringcon, 2)1",-6.898281268,-0.684584168,-3.882899153
"poly(log_ringcon, 2)2",-4.571178435,2.356686873,-1.176181047
Trim.TreatmentNOCUT,-0.302506671,0.58479957,0.141424437
"poly(log_ringhet, 2)1",-7.310149833,-1.710422375,-4.503485797
"poly(log_ringhet, 2)2",-2.16512181,4.07461014,0.947203541
"poly(log_ringcon, 2)1:Trim.TreatmentNOCUT",-2.702285004,5.596655674,1.462306876
"poly(log_ringcon, 2)2:Trim.TreatmentNOCUT",-4.664992497,4.441175387,-0.032697744
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)1",0.031413734,8.395996735,4.232813121
"Trim.TreatmentNOCUT:poly(log_ringhet, 2)2",-8.240265792,-0.579759903,-4.411018993
